@RELATION BASE

@ATTRIBUTE sexo {F,M}
@ATTRIBUTE tamanhodafamilia {GT3,LE3}
@ATTRIBUTE moracomafamilia {Nao,Sim}
@ATTRIBUTE nivelescolarmae {Fundamental,Inexistente,Medio,Primario,Superior}
@ATTRIBUTE nivelescolarpai {Fundamental,Inexistente,Medio,Primario,Superior}
@ATTRIBUTE trabalhomae {Lar,Outros,Professor,SaUde,Servidor}
@ATTRIBUTE trabalhopai {Lar,Outros,Professor,SaUde,Servidor}
@ATTRIBUTE tempoestudosemanal {Alto,Baixo,Baixissimo,Medio}
@ATTRIBUTE reprovacoes {Muitas,Nao,Poucas}
@ATTRIBUTE suporteeducacionalescolar {Nao,Sim}
@ATTRIBUTE suporteeducacionalfamiliar {Nao,Sim}
@ATTRIBUTE realizaatividadeextracurricular {Nao,Sim}
@ATTRIBUTE visaeducacaosuperior {Nao,Sim}
@ATTRIBUTE possuiinternetemcasa {Nao,Sim}
@ATTRIBUTE temalgumrelacionamentoamoroso {Nao,Sim}
@ATTRIBUTE qualidaderelacionamentofamiliar {Bom,Excelente,Pessimo,Regular,Ruim}
@ATTRIBUTE tempolivre {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE saircamigos {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE consumoalcooldiasemana {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE consumoalcoolfimsemana {Alto,Altissimo,Pouco,Pouquissimo,Regular}
@ATTRIBUTE condicaodesaUde {Boa,Excelente,Pessima,Regular,Ruim}
@ATTRIBUTE faltasconceito {ALTO,ALTiSSIMO,BAIXO,MODERADA}
@ATTRIBUTE desemepenhoruim {Nao,SIM}

@DATA
F,GT3,Nao,Superior,Superior,Lar,Professor,Baixo,Nao,Sim,Nao,Nao,Sim,Nao,Nao,Bom,Regular,Alto,Pouquissimo,Pouquissimo,Regular,BAIXO,SIM
F,GT3,Sim,Primario,Primario,Lar,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Regular,Regular,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,LE3,Sim,Primario,Primario,Lar,Outros,Baixo,Nao,Sim,Nao,Nao,Sim,Sim,Nao,Bom,Regular,Pouco,Pouco,Regular,Regular,MODERADA,Nao
F,GT3,Sim,Superior,Fundamental,SaUde,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Sim,Regular,Pouco,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Medio,Medio,Outros,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Nao,Nao,Bom,Regular,Pouco,Pouquissimo,Pouco,Excelente,BAIXO,Nao
M,LE3,Sim,Superior,Medio,Servidor,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Alto,Pouco,Pouquissimo,Pouco,Excelente,MODERADA,Nao
M,LE3,Sim,Fundamental,Fundamental,Outros,Outros,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Bom,Alto,Alto,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,GT3,Nao,Superior,Superior,Outros,Professor,Baixo,Nao,Sim,Sim,Nao,Sim,Nao,Nao,Bom,Pouquissimo,Alto,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
M,LE3,Nao,Medio,Fundamental,Servidor,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Pouco,Pouco,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
M,GT3,Sim,Medio,Superior,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Altissimo,Pouquissimo,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
F,GT3,Sim,Superior,Superior,Professor,SaUde,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Regular,Regular,Regular,Pouquissimo,Pouco,Ruim,BAIXO,Nao
F,GT3,Sim,Fundamental,Primario,Servidor,Outros,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Pouco,Pouco,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,LE3,Sim,Superior,Superior,SaUde,Servidor,Baixissimo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Regular,Pouquissimo,Regular,Excelente,BAIXO,Nao
M,GT3,Sim,Superior,Medio,Professor,Outros,Baixo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Alto,Regular,Pouquissimo,Pouco,Regular,BAIXO,Nao
M,GT3,Nao,Fundamental,Fundamental,Outros,Outros,Medio,Nao,Nao,Sim,Nao,Sim,Sim,Sim,Bom,Altissimo,Pouco,Pouquissimo,Pouquissimo,Regular,BAIXO,Nao
F,GT3,Sim,Superior,Superior,SaUde,Outros,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Bom,Alto,Alto,Pouquissimo,Pouco,Ruim,MODERADA,Nao
F,GT3,Sim,Superior,Superior,Servidor,Servidor,Medio,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Regular,Pouco,Regular,Pouquissimo,Pouco,Ruim,ALTO,Nao
F,GT3,Sim,Medio,Medio,Outros,Outros,Baixo,Nao,Sim,Sim,Sim,Sim,Nao,Nao,Excelente,Regular,Pouco,Pouquissimo,Pouquissimo,Boa,BAIXO,Nao
M,GT3,Sim,Medio,Fundamental,Servidor,Servidor,Baixissimo,Muitas,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Altissimo,Altissimo,Pouco,Alto,Excelente,BAIXO,SIM
M,LE3,Sim,Superior,Medio,SaUde,Outros,Baixissimo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Regular,Pouquissimo,Regular,Pouquissimo,Regular,Excelente,MODERADA,Nao
M,GT3,Sim,Superior,Medio,Professor,Outros,Baixo,Nao,Nao,Nao,Nao,Sim,Sim,Nao,Bom,Alto,Pouquissimo,Pouquissimo,Pouquissimo,Pessima,BAIXO,Nao
M,GT3,Sim,Superior,Superior,SaUde,SaUde,Baixissimo,Nao,Nao,Sim,Nao,Sim,Sim,Nao,Excelente,Alto,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
M,LE3,Sim,Superior,Fundamental,Professor,Outros,Baixo,Nao,Nao,Nao,Sim,Sim,Sim,Nao,Bom,Altissimo,Pouquissimo,Pouquissimo,Regular,Excelente,BAIXO,Nao
M,LE3,Sim,Fundamental,Fundamental,Outros,Outros,Baixo,Nao,Nao,Sim,Sim,Sim,Sim,Nao,Excelente,Alto,Alto,Pouco,Alto,Excelente,BAIXO,Nao
F,GT3,Sim,Fundamental,Superior,Servidor,SaUde,Medio,Nao,Sim,Sim,Sim,Sim,Sim,Nao,Bom,Regular,Pouco,Pouquissimo,Pouquissimo,Excelente,BAIXO,Nao
