SEXO;IDADE;TAMANHO DA FAMÍLIA;MORA COM A FAMÍLIA;NÍVEL ESCOLAR MÃE;NÍVEL ESCOLAR PAI;TRABALHO MÃE;TRABALHO PAI;TEMPO ESTUDO SEMANAL;REPROVAÇÕES;SUPORTE EDUCACIONAL ESCOLAR;SUPORTE EDUCACIONAL FAMILIAR;REALIZA ATIVIDADE EXTRA CURRICULAR;VISA EDUCAÇÃO SUPERIOR;POSSUI INTERNET EM CASA;TEM ALGUM RELACIONAMENTO AMOROSO;QUALIDADE RELACIONAMENTO FAMILIAR;TEMPO LIVRE;SAIR C/AMIGOS;CONSUMO ALCOOL DIA SEMANA;CONSUMO ALCOOL FIM SEMANA;CONDIÇÃO DE SAÚDE;FALTAS ;FALTAS CONCEITO;G1;G2;G3;MEDIA  NOTA;CONCEITO MEDIA NOTA;DESEMEPENHO RUIM
F;18;GT3;Não;Superior;Superior;Lar;Professor;Baixo;Não;Sim;Não;Não;Sim;Não;Não;Bom;Regular;Alto;Pouquíssimo;Pouquíssimo;Regular;4;BAIXO;0;11;11;7,333333333;C;SIM
F;17;GT3;Sim;Primário;Primário;Lar;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Regular;2;BAIXO;9;11;11;10,33333333;B;NÃO
F;15;LE3;Sim;Primário;Primário;Lar;Outros;Baixo;Não;Sim;Não;Não;Sim;Sim;Não;Bom;Regular;Pouco;Pouco;Regular;Regular;6;MODERADA;12;13;12;12,33333333;B;NÃO
F;15;GT3;Sim;Superior;Fundamental;Saúde;Servidor;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Regular;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;14;14;14;14;B;NÃO
F;16;GT3;Sim;Médio;Médio;Outros;Outros;Baixo;Não;Não;Sim;Não;Sim;Não;Não;Bom;Regular;Pouco;Pouquíssimo;Pouco;Excelente;0;BAIXO;11;13;13;12,33333333;B;NÃO
M;16;LE3;Sim;Superior;Médio;Servidor;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Alto;Pouco;Pouquíssimo;Pouco;Excelente;6;MODERADA;12;12;13;12,33333333;B;NÃO
M;16;LE3;Sim;Fundamental;Fundamental;Outros;Outros;Baixo;Não;Não;Não;Não;Sim;Sim;Não;Bom;Alto;Alto;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;13;12;13;12,66666667;B;NÃO
F;17;GT3;Não;Superior;Superior;Outros;Professor;Baixo;Não;Sim;Sim;Não;Sim;Não;Não;Bom;Pouquíssimo;Alto;Pouquíssimo;Pouquíssimo;Péssima;2;BAIXO;10;13;13;12;B;NÃO
M;15;LE3;Não;Médio;Fundamental;Servidor;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;15;16;17;16;A;NÃO
M;15;GT3;Sim;Médio;Superior;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Altíssimo;Pouquíssimo;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;12;12;13;12,33333333;B;NÃO
F;15;GT3;Sim;Superior;Superior;Professor;Saúde;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Regular;Regular;Regular;Pouquíssimo;Pouco;Ruim;2;BAIXO;14;14;14;14;B;NÃO
F;15;GT3;Sim;Fundamental;Primário;Servidor;Outros;Médio;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Pouco;Pouco;Pouquíssimo;Pouquíssimo;Boa;0;BAIXO;10;12;13;11,66666667;B;NÃO
M;15;LE3;Sim;Superior;Superior;Saúde;Servidor;Baixíssimo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Regular;Pouquíssimo;Regular;Excelente;0;BAIXO;12;13;12;12,33333333;B;NÃO
M;15;GT3;Sim;Superior;Médio;Professor;Outros;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Alto;Regular;Pouquíssimo;Pouco;Regular;0;BAIXO;12;12;13;12,33333333;B;NÃO
M;15;GT3;Não;Fundamental;Fundamental;Outros;Outros;Médio;Não;Não;Sim;Não;Sim;Sim;Sim;Bom;Altíssimo;Pouco;Pouquíssimo;Pouquíssimo;Regular;0;BAIXO;14;14;15;14,33333333;B;NÃO
F;16;GT3;Sim;Superior;Superior;Saúde;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Alto;Alto;Pouquíssimo;Pouco;Ruim;6;MODERADA;17;17;17;17;A;NÃO
F;16;GT3;Sim;Superior;Superior;Servidor;Servidor;Médio;Não;Não;Sim;Sim;Sim;Sim;Não;Regular;Pouco;Regular;Pouquíssimo;Pouco;Ruim;10;ALTO;13;13;14;13,33333333;B;NÃO
F;16;GT3;Sim;Médio;Médio;Outros;Outros;Baixo;Não;Sim;Sim;Sim;Sim;Não;Não;Excelente;Regular;Pouco;Pouquíssimo;Pouquíssimo;Boa;2;BAIXO;13;14;14;13,66666667;B;NÃO
M;17;GT3;Sim;Médio;Fundamental;Servidor;Servidor;Baixíssimo;Muitas;Não;Sim;Sim;Sim;Sim;Não;Excelente;Altíssimo;Altíssimo;Pouco;Alto;Excelente;2;BAIXO;8;8;7;7,666666667;C;SIM
M;16;LE3;Sim;Superior;Médio;Saúde;Outros;Baixíssimo;Não;Não;Não;Sim;Sim;Sim;Não;Regular;Pouquíssimo;Regular;Pouquíssimo;Regular;Excelente;6;MODERADA;12;12;12;12;B;NÃO
M;15;GT3;Sim;Superior;Médio;Professor;Outros;Baixo;Não;Não;Não;Não;Sim;Sim;Não;Bom;Alto;Pouquíssimo;Pouquíssimo;Pouquíssimo;Péssima;0;BAIXO;12;13;14;13;B;NÃO
M;15;GT3;Sim;Superior;Superior;Saúde;Saúde;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Alto;Pouco;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;11;12;12;11,66666667;B;NÃO
M;16;LE3;Sim;Superior;Fundamental;Professor;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Bom;Altíssimo;Pouquíssimo;Pouquíssimo;Regular;Excelente;0;BAIXO;12;13;14;13;B;NÃO
M;16;LE3;Sim;Fundamental;Fundamental;Outros;Outros;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Alto;Alto;Pouco;Alto;Excelente;2;BAIXO;10;10;10;10;B;NÃO
F;15;GT3;Sim;Fundamental;Superior;Servidor;Saúde;Médio;Não;Sim;Sim;Sim;Sim;Sim;Não;Bom;Regular;Pouco;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;10;11;10;10,33333333;B;NÃO
F;16;GT3;Sim;Fundamental;Fundamental;Servidor;Servidor;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Péssimo;Pouco;Pouco;Pouquíssimo;Regular;Excelente;6;MODERADA;10;11;12;11;B;NÃO
M;15;GT3;Sim;Fundamental;Fundamental;Outros;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Bom;Pouco;Pouco;Pouquíssimo;Pouco;Excelente;8;MODERADA;11;12;12;11,66666667;B;NÃO
M;15;GT3;Sim;Superior;Fundamental;Saúde;Servidor;Baixíssimo;Não;Não;Não;Não;Sim;Sim;Não;Ruim;Pouco;Alto;Pouco;Alto;Péssima;0;BAIXO;11;11;11;11;B;NÃO
M;16;LE3;Não;Médio;Superior;Servidor;Outros;Baixo;Não;Sim;Sim;Sim;Sim;Sim;Não;Excelente;Regular;Regular;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;12;12;13;12,33333333;B;NÃO
M;16;GT3;Sim;Superior;Superior;Professor;Professor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Alto;Altíssimo;Altíssimo;Altíssimo;Excelente;4;BAIXO;12;11;12;11,66666667;B;NÃO
M;15;GT3;Sim;Superior;Superior;Saúde;Servidor;Baixo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Alto;Pouco;Regular;Alto;Excelente;0;BAIXO;10;11;11;10,66666667;B;NÃO
M;15;GT3;Sim;Superior;Superior;Servidor;Servidor;Baixo;Não;Não;Sim;Sim;Sim;Sim;Não;Bom;Regular;Pouquíssimo;Pouquíssimo;Pouquíssimo;Excelente;2;BAIXO;15;15;15;15;A;NÃO
M;15;GT3;Sim;Superior;Médio;Professor;Lar;Baixo;Não;Não;Sim;Sim;Sim;Sim;Sim;Bom;Altíssimo;Pouco;Pouquíssimo;Pouquíssimo;Excelente;0;BAIXO;13;14;15;14;B;NÃO
M;15;LE3;Sim;Médio;Médio;Outros;Outros;Baixo;Não;Não;Não;Sim;Sim;Sim;Não;Excelente;Regular;Pouco;Pouquíssimo;Pouquíssimo;Ruim;0;BAIXO;13;12;12;12,33333333;B;NÃO
M;16;GT3;Sim;Médio;Fundamental;Outros;Outros;Baixíssimo;Não;Não;Sim;Não;Sim;Sim;Não;Excelente;Alto;Regular;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;12;12;12;12;B;NÃO
F;15;GT3;Sim;Fundamental;Médio;Outros;Outros;Baixíssimo;Não;Não;Sim;Sim;Sim;Não;Não;Regular;Altíssimo;Pouquíssimo;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;11;11;11;11;B;NÃO
M;15;LE3;Sim;Superior;Médio;Professor;Servidor;Médio;Não;Não;Sim;Sim;Sim;Sim;Não;Excelente;Alto;Regular;Pouquíssimo;Pouquíssimo;Boa;0;BAIXO;14;14;14;14;B;NÃO
M;16;GT3;Não;Superior;Superior;Outros;Professor;Médio;Não;Não;Sim;Sim;Sim;Sim;Sim;Ruim;Alto;Regular;Pouquíssimo;Pouquíssimo;Excelente;4;BAIXO;13;13;13;13;B;NÃO
